,"Cultivo_de_cereales,_oleaginosas_y_forrajeras","Cultivo_de_hortalizas,_legumbres,_flores_y_plantas_ornamentales",Cultivo_de_frutas_y_nueces,Cultivos_industriales,Produccion_de_semillas,"Cria_de_ganado_y_produccion_de_leche,_lana_y_pelos",Produccion_de_granja,Servicios_agropecuarios,Caza,Silvicultura_y_extraccion_de_madera,Pesca,"Extraccion_de_petroleo,_gas,_carbon_y_uranio",Extraccion_de_minerales_metaliferos,Extraccion_de_otros_minerales,"Matanza_de_animales,_conservacion_y_procesamiento_de_carnes",Elaboracion_y_conservacion_de_pescado_y_productos_de_pescado,"Elaboracion_y_conservacion_de_frutas,_legumbres_y_hortalizas",Aceites_y_subproductos_oleaginosos,Productos_lacteos,Molienda_de_trigo_y_de_otros_cereales,Alimentos_balanceados,Productos_de_panaderia,Azucar,"Cacao,_chocolate_y_productos_de_confiteria",Pastas_alimenticias,Otros_productos_alimenticios,Bebidas_alcoholicas,Produccion_vitivinicola,Cerveza_y_malta,"Gaseosas,_agua_mineral_y_otras_bebidas_no_alcoholicas",Productos_de_tabaco,"Fibras,_hilados_y_tejeduria_de_productos_textiles",Acabado_de_productos_textiles,Fabricacion_de_productos_textiles,Tejidos_de_punto,"Prendas_de_vestir,_terminacion_y_tenido_de_pieles",Curtido_y_terminacion_de_cueros,Marroquineria_y_talabarteria,Calzado_y_sus_partes,Aserraderos,Madera_y_sus_productos,Celulosa_y_papel,Papel_y_carton_ondulado_y_envases_de_papel_y_carton,Productos_de_papel_y_carton,"Edicion_de_libros,_folletos,_grabaciones_y_otras_ediciones",Edicion_de_periodicos_y_revistas,Impresiones_y_reproduccion_de_grabaciones,Refinacion_de_petroleo,Quimica_basica,Fertilizantes_y_plaguicidas,Materias_primas_plasticas_y_caucho_sintetico,Pinturas_y_barnices,Productos_medicinales,"Jabones,_detergentes_y_cosmeticos",Otros_productos_quimicos,Fibras_sinteticas_manufacturadas,"Cubiertas,_camaras_y_recauchutado_de_cubiertas",Productos_de_caucho,Productos_de_plastico,Vidrio_y_productos_de_vidrio,Productos_de_ceramica_refractaria_y_no_refractaria_para_uso_no_estructural,Arcilla_y_ceramica_no_refractaria_para_uso_estructural,"Cemento,_cal_y_yeso","Articulos_de_hormigon,_cemento_y_yeso",Industrias_basicas_de_hierro_y_acero,Metalurgia_de_no_ferrosos,Fundicion_de_metales,"Estructuras_metalicas,_tanques,_depositos_y_generadores_de_vapor","Forja,_laminado_y_tratamiento_de_metales",Articulos_de_cuchilleria_y_ferreteria_y_herramientas_de_mano,Otros_productos_metalicos,"Motores,_turbinas,_bombas_y_compresores","Engranajes,_hornos,_elevadores_y_otras_maquinarias_de_uso_general",Tractores_y_maquinaria_agricola,Otra_maquinaria_de_uso_especial,Aparatos_de_uso_domestico,Maquinas_de_oficina_e_informatica,"Motores,_generadores_y_transformadores_electricos",Aparatos_de_control_y_distribucion_de_energia_electrica,Hilos_y_cables_aislados,Acumuladores_y_pilas,Lamparas_electricas_y_equipos_de_iluminacion,"Tubos_y_transmisores_de_radio,_TV_y_telefonia",Receptores_de_radio_y_TV,"Instrumentos_medicos,_opticos_y_de_precision_y_relojes",Vehiculos_automotores,Carrocerias_y_remolques,Autopartes,"Buques,_locomotoras_y_aeronaves","Motocicletas,_bicicletas_y_otros_tipos_de_transportes",Muebles_y_colchones,Otras_industrias_manufactureras,Electricidad,Gas,Agua,Construccion,Comercio_mayorista,Comercio_minorista,Hoteles,Restaurantes,Transporte_terrestre_de_pasajeros,Transporte_terrestre_de_carga,Transporte_por_tuberias,Transporte_maritimo,Transporte_aereo,Actividades_de_transporte_complementarias,Correos,Telecomunicaciones,Instituciones_Financieras,Seguros,Servicios_a_las_empresas_y_profesionales,Actividades_inmobiliarias,Administracion_publica_y_defensa_y_planes_de_la_seguridad_social_de_afiliacion_obligatoria,Ensenanza_publica,Ensenanza_privada,Salud_humana_publica,Salud_humana_privada,Servicios_veterinarios,Servicios_sociales,Servicios_de_saneamiento,Actividad_de_asociaciones,"Servicios_de_cine,_radio_y_television","Servicios_personales,_de_reparacion,_actividades_deportivas_y_de_esparcimiento",Servicio_domestico,Total
VA,4387907.603,1098890.308,520990.7647,1260054.255,652815.2141,4153470.703,611169.3764,681670.3947,29736.41304,301737.8154,484887.7485,5392030.143,69451.89858,739410.7393,1743447.363,128705.4426,566088.0268,422126.8108,883126.5134,357238.3971,103857.9163,2077312.135,279385.4512,315677.8037,388017.7571,802582.9124,89151.79945,631629.3155,372625.988,1171972.157,363489.3562,790690.2726,157350.0278,482655.0482,330317.7477,1462908.427,330288.9257,128425.7686,865105.7579,397033.6774,550176.7314,240298.1004,503425.386,319051.4502,274643.6845,976323.0864,1088634.371,1155570.038,671202.2635,193162.506,408190.3112,385506.8718,1972846.604,896879.1293,556584.8126,172352.4365,194356.7767,238995.6065,1890346.699,328601.9961,238394.6054,410339.3669,494242.5615,292740.9399,1474099.785,298583.8042,395345.8912,330882.0801,263237.4377,278229.947,818593.9328,320990.5351,438010.7778,385290.5266,400509.9276,449952.7603,129164.1033,212771.1129,131711.6348,116968.171,189398.8485,128894.8687,293870.8952,229585.788,230811.8425,1387007.854,228955.7971,1207683.545,317783.2969,66988.38296,1166541.196,375488.8625,3263142.903,651665.379,871289.0321,14816626.02,9816575.796,20358149.46,1841694.236,4079236.62,4993622.873,5317322.833,578088.1604,141846.4978,756744.3546,2139817.916,573875.5697,5435088.206,8140441.328,1504547.047,11576541.66,32453891.4,16497696.52,8092043.249,3676834.958,3417049.036,6275683.453,63581.53103,442901.6022,1269524.255,1895725.689,1338373.644,8519599.469,4530446.893,248075321.7
W,417357.409,295528.9867,282941.2252,536561.1766,72660.37867,1290779.028,301496.9415,167003.1991,7657.239166,129038.0285,259896.8937,785893.077,33791.15889,217946.1605,705890.6984,66654.45316,211472.7704,179342.9157,473588.465,216972.2743,64476.57271,828091.5493,102575.9159,167553.8444,127410.1197,350339.8529,28231.14631,221098.2221,133560.6472,513220.0239,151708.4254,330384.2656,58295.43721,194642.2122,124007.3584,488314.9858,160480.3365,26210.73934,302033.083,119999.3855,218601.5291,151233.6664,184969.6845,136291.1893,174024.3603,467083.9538,428921.5623,415807.7679,216704.4879,126671.3788,167716.8472,130985.2329,1034830.401,411337.6769,224736.3416,71662.48495,129205.582,80157.33062,697274.1133,144480.2676,124257.5501,253906.882,181771.3168,109427.3736,525911.2319,118984.4202,135326.3327,210468.8566,106972.9324,94323.01076,375449.8701,135411.5418,166423.5088,169953.4487,225767.9401,172847.2537,31609.3951,82769.86464,80334.51903,86929.51553,140827.6688,53643.89206,132373.8439,90951.5794,123782.6809,635616.6838,85956.60613,590582.1358,96505.9233,31466.48452,267767.4859,182610.0913,1323098.439,178415.4079,470827.9848,3322778.878,3147215.999,5209625.615,374286.6995,998195.1853,2812953.049,1701578.491,81848.15951,74387.33218,320289.2978,1006794.57,273063.4286,1427153.78,3800027.861,1518626.292,3691130.608,366330.7537,16285994.05,8088888.093,2044680.541,3408924.735,2222001.742,10479.62345,144183.403,1127886.192,1717033.073,750349.0825,2100402.159,4530446.893,97108631.72
WR,266535.1714,86605.62978,143428.512,231436.4621,35087.37128,602936.4502,76911.22162,98420.32041,68.62347906,46389.41097,229378.8844,725287.7437,31146.30966,120833.8304,615919.7001,61237.78003,147424.6439,175976.1688,466286.4476,203475.3525,63284.80405,505973.4237,101235.6145,166400.1351,83944.54012,347740.0781,27872.14757,216951.7125,127159.7611,447918.6168,148112.6437,307628.0809,52633.09283,138675.5252,106326.1514,306864.2831,155871.3527,15416.51179,216660.8343,81451.73803,154588.8293,150362.1097,157107.1338,126432.4044,171121.1003,462107.5923,246158.7644,415807.7679,200625.1799,113796.5317,156030.9716,122923.3139,1031988.807,387838.6398,211585.0588,67616.81033,123650.0096,58078.73386,437993.0924,137180.2285,119573.3412,114427.8746,179568.4127,82434.9909,525911.2319,118493.7485,60129.32819,205980.4104,93929.55406,62060.88741,364371.189,115015.3319,124206.4857,150856.2988,219219.8612,147767.3894,20877.78395,42944.84921,79832.95881,85727.46794,130224.0612,52202.28873,109402.2001,90951.5794,101138.9293,635616.6838,48990.98545,488440.37,69732.51803,29612.90745,133786.0063,166045.7983,1323098.439,178415.4079,470827.9848,2154678.993,2685075.459,3301217.528,334421.6296,634780.979,1751323.446,763816.8102,67081.55058,61233.9521,265808.3775,806917.2312,238876.813,1246722.769,3456501.61,1277108.403,3056084.953,276246.8763,16285994.05,8088888.093,1473611.268,3408924.735,1650932.469,8155.273149,124897.7021,968741.8788,1456073.753,502693.3558,1320511.094,1063681.089,78588717.86
WR_sueldos,220625.6951,72089.21796,120492.5057,199331.3653,29761.46891,495691.0883,63307.67376,83087.93248,60.4362342,39424.87887,199425.1377,632143.322,27587.07338,100588.7011,504175.366,50785.66903,123521.0084,147483.9879,387608.9661,169112.4922,52646.74804,414276.5278,87781.116,138988.8121,68262.21287,292150.0373,23102.87524,181759.8515,107518.4128,371349.1231,126566.1314,258385.9831,43364.83094,113333.3325,86993.79499,253123.838,128134.3859,12500.85985,179890.6177,67462.08007,127321.3247,126384.5331,128621.4858,105667.1581,139024.2172,385834.6478,202509.6238,354169.2541,167957.7197,96028.39504,130481.9949,100212.551,863371.2549,327044.9641,174841.2051,56156.17301,100635.3849,46549.04037,357788.2104,111217.7198,96236.04599,95165.9707,151675.3545,66498.92693,437725.9701,97235.26815,48168.76059,166156.1977,75437.40876,49694.22934,292476.1402,95208.63305,101223.2103,122606.6869,177641.5264,122655.2904,17367.50949,34834.40346,65377.88342,70650.72021,107226.8154,43641.82689,90750.21324,78335.82802,83715.13009,528869.7837,40182.55537,399075.1873,57258.76246,23926.4361,107864.3791,134504.6933,1139017.548,159875.6616,392635.4456,1640542.745,2231025.4,2751725.408,279899.2405,528289.0358,1433087.553,624289.7614,57252.50465,51046.42322,221842.9467,665777.0973,203004.5736,1053343.194,2966150.303,1081852.608,2615215.587,228203.1981,13002540.65,6455860.161,1266776.233,2720712.802,1352000.442,6725.73572,102196.8406,773167.0941,1264076.121,422291.9721,1107395.763,925775.1102,64578695.32
WR_contribuciones,45909.47635,14516.41181,22936.00629,32105.0968,5325.902373,107245.362,13603.54785,15332.38793,8.187244864,6964.532104,29953.74669,93144.42169,3559.236276,20245.12934,111744.3342,10452.111,23903.63555,28492.1809,78677.48155,34362.86025,10638.056,91696.89583,13454.49847,27411.323,15682.32725,55590.04078,4769.272334,35191.86093,19641.34837,76569.49376,21546.51234,49242.09783,9268.261895,25342.19266,19332.35636,53740.44509,27736.96681,2915.651945,36770.21652,13989.65795,27267.50456,23977.57658,28485.64797,20765.24626,32096.88308,76272.94452,43649.14059,61638.51382,32667.46022,17768.13668,25548.97671,22710.76284,168617.5525,60793.67575,36743.85366,11460.63732,23014.62467,11529.69349,80204.88201,25962.50867,23337.29517,19261.90395,27893.05821,15936.06397,88185.26184,21258.4804,11960.5676,39824.21269,18492.1453,12366.65807,71895.04886,19806.69887,22983.27541,28249.6119,41578.3348,25112.09905,3510.274459,8110.445751,14455.07539,15076.74773,22997.24588,8560.461848,18651.98686,12615.75138,17423.79925,106746.9001,8808.430082,89365.18277,12473.75557,5686.471349,25921.6272,31541.10502,184080.8908,18539.74637,78192.53921,514136.2481,454050.0597,549492.1201,54522.38905,106491.9432,318235.8925,139527.0488,9829.045937,10187.52888,43965.43077,141140.1339,35872.23941,193379.5747,490351.3067,195255.7948,440869.3665,48043.67823,3283453.404,1633027.932,206835.0356,688211.933,298932.0269,1429.537429,22700.86156,195574.7847,191997.6322,80401.38371,213115.3313,137905.979,14010022.54
WNR,150822.2376,208923.3569,139512.7132,305124.7145,37573.00739,687842.5782,224585.7199,68582.87866,7588.615687,82648.6175,30518.00929,60605.33333,2644.849229,97112.33013,89970.99828,5416.673128,64048.1265,3366.746855,7302.017423,13496.92179,1191.768662,322118.1256,1340.301468,1153.709308,43465.57957,2599.774761,358.9987433,4146.509604,6400.886096,65301.40711,3595.781698,22756.18466,5662.344382,55966.68707,17681.20702,181450.7026,4608.983841,10794.22755,85372.24876,38547.64751,64012.6998,871.5567236,27862.55072,9858.784889,2903.260039,4976.361511,182762.7979,0,16079.30802,12874.84708,11685.87554,8061.919092,2841.59329,23499.03714,13151.2828,4045.674621,5555.572411,22078.59676,259281.0208,7300.039102,4684.208917,139479.0073,2202.904025,26992.38274,0,490.6716126,75197.00451,4488.446188,13043.37839,32262.12335,11078.68105,20396.20991,42217.0231,19097.14982,6548.07897,25079.86427,10731.61115,39825.01543,501.5602219,1202.047587,10603.60752,1441.603328,22971.6438,0,22643.75157,0,36965.62068,102141.7658,26773.40527,1853.577074,133981.4796,16564.29298,0,0,0,1168099.885,462140.5394,1908408.087,39865.06991,363414.2063,1061629.603,937761.6807,14766.60893,13153.38008,54480.9203,199877.3388,34186.61558,180431.0114,343526.2506,241517.8888,635045.6548,90083.87738,0,0,571069.2726,0,571069.2726,2324.350305,19285.70083,159144.3137,260959.3195,247655.7267,779891.0654,3466765.804,18519913.86
WNR_sueldos,150822.2376,208923.3569,139512.7132,305124.7145,37573.00739,687842.5782,224585.7199,68582.87866,7588.615687,82648.6175,30518.00929,60605.33333,2644.849229,97112.33013,89970.99828,5416.673128,64048.1265,3366.746855,7302.017423,13496.92179,1191.768662,322118.1256,1340.301468,1153.709308,43465.57957,2599.774761,358.9987433,4146.509604,6400.886096,65301.40711,3595.781698,22756.18466,5662.344382,55966.68707,17681.20702,181450.7026,4608.983841,10794.22755,85372.24876,38547.64751,64012.6998,871.5567236,27862.55072,9858.784889,2903.260039,4976.361511,182762.7979,0,16079.30802,12874.84708,11685.87554,8061.919092,2841.59329,23499.03714,13151.2828,4045.674621,5555.572411,22078.59676,259281.0208,7300.039102,4684.208917,139479.0073,2202.904025,26992.38274,0,490.6716126,75197.00451,4488.446188,13043.37839,32262.12335,11078.68105,20396.20991,42217.0231,19097.14982,6548.07897,25079.86427,10731.61115,39825.01543,501.5602219,1202.047587,10603.60752,1441.603328,22971.6438,0,22643.75157,0,36965.62068,102141.7658,26773.40527,1853.577074,133981.4796,16564.29298,0,0,0,1168099.885,462140.5394,1908408.087,39865.06991,363414.2063,1061629.603,937761.6807,14766.60893,13153.38008,54480.9203,199877.3388,34186.61558,180431.0114,343526.2506,241517.8888,635045.6548,90083.87738,0,0,571069.2726,0,571069.2726,2324.350305,19285.70083,159144.3137,260959.3195,247655.7267,779891.0654,3466765.804,18519913.86
EBE,3970550.194,803361.3211,238049.5396,723493.0787,580154.8355,2862691.674,309672.4349,514667.1956,22079.17387,172699.7869,224990.8548,4606137.066,35660.73969,521464.5788,1037556.665,62050.98944,354615.2564,242783.8951,409538.0484,140266.1229,39381.34354,1249220.586,176809.5353,148123.9593,260607.6374,452243.0596,60920.65314,410531.0934,239065.3408,658752.1329,211780.9307,460306.007,99054.59055,288012.836,206310.3893,974593.4413,169808.5891,102215.0292,563072.6749,277034.2918,331575.2023,89064.43398,318455.7016,182760.261,100619.3242,509239.1325,659712.8091,739762.2699,454497.7756,66491.12716,240473.464,254521.6389,938016.2032,485541.4523,331848.471,100689.9515,65151.19467,158838.2759,1193072.586,184121.7285,114137.0553,156432.4849,312471.2447,183313.5662,948188.553,179599.384,260019.5585,120413.2235,156264.5053,183906.9362,443144.0627,185578.9933,271587.2689,215337.078,174741.9874,277105.5066,97554.70815,130001.2483,51377.11575,30038.65547,48571.17973,75250.97667,161497.0513,138634.2086,107029.1616,751391.1699,142999.191,617101.4089,221277.3736,35521.89843,898773.7097,192878.7713,1940044.464,473249.9711,400461.0473,11493847.15,6669359.797,15148523.85,1467407.536,3081041.435,2180669.824,3615744.342,496240.0009,67459.16565,436455.0568,1133023.346,300812.1411,4007934.425,4340413.468,-14079.24444,7885411.051,32087560.64,211702.4641,3155.156353,1632154.417,8124.301556,4053681.711,53101.90758,298718.1993,141638.0629,178692.6166,588024.5618,6419197.309,0,150966690
L,121491.8716,129138.3215,72382.3811,233861.4053,9882.99082,265386.9115,59681.19938,43391.85355,1965.592593,31594.80339,18175.36798,21578.98865,1356.261825,22416.4047,81096,8790.462728,44720,8616,29220,15457,4320,160249,9308,10733,21913,28855,1122,20418,4573,41596,6289,35114,7257,30999,17824,123321,13477,7869,54741,41345,55921,8865,15984,9029,13950,17500,45185,9461.477133,10776,4856.924005,8008,6285,27518,17767,12520,3455,5932,10177,78058,8505,10975,74105,7947,21426,24416.90983,7021,24817,25526,11252,14271,34331,9832,18286,19058,18991,15601,3121,14650,4752,4925,12171,3783,6664,3797.396339,10942,24299,15064,49980,10289,3606,97183,22119,47001.57927,4312.297537,25273.40238,977389.799,400898.5636,1880886.719,46945.85669,271396.3882,366908.7821,258295.7665,2036.255925,3633.079123,11084.55243,144516.9984,24276.05117,56796.38756,136721.7162,80656.61011,658177.921,55986.94699,887604.746,819585.8749,243128.2561,246408.0403,373133.0056,6718.576194,25117.71848,196363.623,109953.8531,65554.73167,624666.9501,1112575.756,13020488.33
  Asalariados,69066.71918,68721.39455,55800.68604,130192.8959,6296.778952,215173.8668,48815.46927,32811.63882,680.4882562,27486.09968,13087.46985,19143.45501,1275.117955,14410.54588,68796.89172,6854.330794,32799.08574,8375.617855,28511.76036,14144.17381,4201.111114,111109.993,9131.628967,10618.89065,15622.61232,28529.81618,1100.347987,19847.86065,4272.64209,35347.42525,6059.557967,31899.87386,6368.516242,22928.35581,14884.9829,86474.74743,12906.87731,5390.660348,40645.39766,25001.57086,34674.91826,8796.85466,13479.96463,8258.520186,13636.03161,17252.27385,31439.41305,9461.477133,10226.53577,4541.278855,7629.732998,6018.635931,27462.17597,17049.35101,12008.11953,3321.821366,5751.568839,8646.580461,63738.1067,7800.746709,10277.92915,45944.33624,7779.005405,15976.26653,24416.90983,6971.081853,14124.6148,24607.6912,9352.182613,9435.182423,32644.83411,7916.158652,13136.35869,16065.44583,18080.48559,12651.69389,2082.654751,8754.514495,4700.989058,4810.553088,10811.73393,3619.040865,5222.049863,3797.396339,8485.794796,24299,9344.190205,39123.63692,7235.981722,3275.541686,51452.04853,19394.25199,47001.57927,4312.297537,25273.40238,565183.7734,289144.5727,797037.3215,42019.39499,195980.5044,252246.5344,198150.3333,1904.664178,3398.293691,10368.22026,108159.401,23110.0792,54068.47291,134347.6861,73120.50422,396934.8055,41952.1715,887604.746,819585.8749,227034.6211,246408.0403,232801.6319,1744.512749,20427.48854,169105.4275,103591.5912,49832.73133,307948.5362,1112575.756,9584145.988
        Registrados,37124.69088,16359.25201,24460.01503,48351.89804,2626.950586,84945.91892,9919.388878,17171.09665,4.860843323,8296.286246,10533.04694,17403.14091,1159.198141,8005.85882,53145.61436,6048,17629.08063,8069.718637,27610.4873,12473.53182,4049.818606,48577.96136,8907.187334,10473.68037,7617.755394,28116.00228,1072.794636,19122.32763,3890.420481,27395.77752,5767.580628,27767.79028,5226.280687,12552.72805,11106.57976,39105.17048,12173.92703,2204.504562,22524.07805,12247.5921,18095.0394,8707.227331,10186.56261,7245.155991,13223.08851,16926.45504,13360.6972,9461.477133,9025.269331,3851.199491,6802.74658,5436.297354,27340.13065,15480.39056,10889.02059,3030.659512,5357.101125,5300.700001,32431.23301,6869.707201,9356.384994,8715.272662,7556.912576,8771.589981,24416.90983,6927.533019,4796.52591,23806.55413,7694.772679,5216.391634,31173.81478,6244.769337,8643.786542,13454.727,17286.14839,10078.70489,1176.797303,3611.264249,4656.486864,4710.709044,9625.90359,3476.002117,3964.085545,3797.396339,6342.989422,24299,4354.200304,29652.49293,4572.513719,2987.248245,15764.82654,16251.9881,47001.57927,4312.297537,25273.40238,238549.4344,225000.5938,347840.147,33301.72108,85773.03612,125085.1225,65612.69315,1698.989583,3031.329956,9248.611078,76868.02773,18848.03212,44096.96328,121402.2045,57396.90147,268883.5177,25773.38619,887604.746,819585.8749,194046.6847,246408.0403,150194.6012,1203.11224,16369.9863,105690.8922,80782.5004,23729.87206,133311.0546,84213.08333,5851781.293
        No registrados,31942.0283,52362.14253,31340.67101,81840.9979,3669.828366,130227.9479,38896.08039,15640.54217,675.6274129,19189.81343,2554.42291,1740.314091,115.9198141,6404.687056,15651.27736,806.3307943,15170.0051,305.8992188,901.2730647,1670.641995,151.2925076,62532.03161,224.4416333,145.2102856,8004.856931,413.8139094,27.55335164,725.5330167,382.2216089,7951.647731,291.9773383,4132.083581,1142.235555,10375.62776,3778.403144,47369.57695,732.9502718,3186.155787,18121.31962,12753.97876,16579.87886,89.627329,3293.402024,1013.364194,412.9431013,325.8188071,18078.71586,0,1201.26644,690.0793636,826.9864181,582.3385765,122.0453209,1568.960453,1119.098934,291.1618539,394.467714,3345.880461,31306.87369,931.0395083,921.544154,37229.06358,222.0928284,7204.67655,0,43.54883417,9328.088887,801.1370697,1657.409934,4218.790789,1471.019329,1671.389315,4492.572144,2610.718824,794.3372015,2572.989003,905.8574483,5143.250246,44.50219411,99.84404343,1185.830337,143.0387474,1257.964317,0,2142.805374,0,4989.989901,9471.143988,2663.468003,288.293441,35687.22199,3142.263881,0,0,0,326634.339,64143.97885,449197.1745,8717.673902,110207.4683,127161.4119,132537.6402,205.6745954,366.9637345,1119.609184,31291.37331,4262.047084,9971.50963,12945.48157,15723.60275,128051.2877,16178.78531,0,0,32987.93641,0,82607.03067,541.4005082,4057.502243,63414.5353,22809.09082,26102.85927,174637.4815,1028362.673,3732364.694
   No Asalariados,52425.15246,60416.92692,16581.69507,103668.5093,3586.211868,50213.04465,10865.73011,10580.21472,1285.104336,4108.703714,5087.898133,2435.533645,81.14386986,8005.85882,12299.10828,1936.131934,11920.91426,240.3821446,708.2396385,1312.826189,118.8888863,49139.00703,176.3710328,114.1093462,6290.387676,325.1838151,21.65201265,570.1393524,300.35791,6248.574749,229.4420333,3214.126135,888.4837582,8070.644192,2939.017098,36846.25257,570.1226943,2478.339652,14095.60234,16343.42914,21246.08174,68.14534025,2504.035366,770.4798144,313.9683895,247.7261536,13745.58695,0,549.4642297,315.6451504,378.2670024,266.3640695,55.82403373,717.6489898,511.8804734,133.1786342,180.4311612,1530.419539,14319.8933,704.2532909,697.0708519,28160.66376,167.9945952,5449.73347,0,49.91814677,10692.3852,918.308804,1899.817387,4835.817577,1686.165891,1915.841348,5149.641314,2992.554172,910.514409,2949.306109,1038.345249,5895.485505,51.01094206,114.4469125,1359.266073,163.9591351,1441.950137,0,2456.205204,0,5719.809795,10856.36308,3053.018278,330.4583136,45730.95147,2724.748014,0,0,0,412206.0256,111753.991,1083849.397,4926.4617,75415.88381,114662.2477,60145.43318,131.5917465,234.7854319,716.3321637,36357.59737,1165.971962,2727.914643,2374.030187,7536.105898,261243.1155,14034.77548,0,0,16093.63501,0,140331.3737,4974.063445,4690.229937,27258.19553,6362.261864,15722.00034,316718.4139,0,3436342.341